"Facility Name","CMS Certification Number (CCN)","Alternate CCN","Address","City","State","Zip Code","Network","Total Performance Score","State Average Total Performance Score","National Average Total Performance Score","Payment Reduction Percentage"
"FRESENIUS MEDICAL CARE WEST COLUMBIA","422550","-","105 SUM-MOR DRIVE","WEST COLUMBIA","SC","29169","Network 6","64","67","64","0.0%"
"FRESENIUS MEDICAL CARE WEST CONWAY","422619","-","1702 MILLPOND ROAD","CONWAY","SC","29527","Network 6","77","67","64","0.0%"
"FRESENIUS MEDICAL CARE WEST EUGENE","382581","-","3747 W 11TH AVE","EUGENE","OR","97402","Network 16","66","67","64","0.0%"
"Fresenius Medical Care West Madison, LLC","012672","-","29569 HUNTSVILLE BROWNS FERRY RD","MADISON","AL","35756","Network 8","72","65","64","0.0%"
"FRESENIUS MEDICAL CARE WESTOVER HILLS","452507","-","9010 CULEBRA RD","SAN ANTONIO","TX","78251","Network 14","77","63","64","0.0%"
"Fresenius Medical Care West Pearland","672784","-","2276 BUSINESS CENTER DRIVE","PEARLAND","TX","77584","Network 14","65","63","64","0.0%"
"Fresenius Medical Care White Oak","342735","-","520 TIMBER DRIVE EAST","GARNER","NC","27529","Network 6","72","68","64","0.0%"
"Fresenius Medical Care Willow Bend, LLC","742540","-","6823 COMMUNICATIONS PKWY","Plano","TX","75024","Network 14","50","63","64","0.5%"
"Fresenius Medical Care Wyomissing LLC","392549","-","625 SPRING STREET","Wyomissing","PA","19610","Network 4","48","64","64","0.5%"
"FRESENIUS MEDICAL CARE WYOMISSING LLC","392587","-","965 BERKSHIRE BOULEVARD","Wyomissing","PA","19610","Network 4","50","64","64","0.5%"
"FRESENIUS MEDICAL SERVICES OF CATAWBA VALLEY","342635","-","301 10TH STREET NW","CONOVER","NC","28613","Network 6","81","68","64","0.0%"
"Fresenius of Normandy","262531","-","101 NORTH OAKS PLAZA","Normandy","MO","63121","Network 12","44","62","64","1.0%"
"FRESENIUS OF YORK","422613","-","1440 E ALEXANDER LOVE HWY","YORK","SC","29745","Network 6","50","67","64","0.5%"
"FRESENIUS RIO GRANDE","402551","-","LAS FLORES INDUSTRIAL PARK","PALMER","PR","00721","Network 3","60","59","64","0.0%"
"FRIEDWALD CENTER FOR DIALYSIS","332696","-","475 NEW HEMPSTEAD ROAD","NEW CITY","NY","10956","Network 2","78","61","64","0.0%"
"FROEDTERT SOUTH, INC.- ST. CATHERINE'S KIDNEY CENTER","522335","520021","9555 76TH ST","PLEASANT PRAIRIE","WI","53158","Network 11","72","66","64","0.0%"
"Frontenac Home Dialysis Center","262627","-","10435 CLAYTON RD SUITE 201","Frontenac","MO","63131","Network 12","58","62","64","0.0%"
"FSLH-ST. LUKE'S HOME RENAL DIALYSIS","333568","-","1650 CHAMPLAIN AVENUE","UTICA","NY","13502","Network 2","50","61","64","0.5%"
"FT BEND DIALYSIS CTR","452778","-","3819 CARTWRIGHT RD","MISSOURI CITY","TX","77459","Network 14","76","63","64","0.0%"
"FT PECK TRIBAL DIALYSIS UNIT","272500","-","""107 """"H"""" ST E""","POPLAR","MT","59255","Network 16","86","70","64","0.0%"
"FT SMITH REGIONAL DIALYSIS CTR","042501","-","2201 BROOKEN HILL DR","FORT SMITH","AR","72908","Network 13","45","62","64","1.0%"
"FUQUAY VARINA KIDNEY CENTER","342608","-","916 SOUTH MAIN STREET","FUQUAY VARINA","NC","27526","Network 6","67","68","64","0.0%"
"GADC, LLC","672830","-","3417 GASTON AVENUE SUITE 180","DALLAS","TX","75246","Network 14","52","63","64","0.5%"
"GATEWAY DIALYSIS CENTER","102864","-","5258-10 NORWOOD AVENUE","JACKSONVILLE","FL","32208","Network 7","59","57","64","0.0%"
"Gateway St Louis Dialysis, LLC","262642","-","4100 UNION BLVD","SAINT LOUIS","MO","63115","Network 12","26","62","64","2.0%"
"Gathland Dialysis LLC","742600","-","24730 STATE HIGHWAY 249, STE A","Tomball","TX","77375","Network 14","No Score","63","64","0.0%"
"Gatlin Kidney Care","682742","-","1631 SW GATLIN BLVD","Port Saint Lucie","FL","34953","Network 7","No Score","57","64","0.0%"
"GEISINGER HEALTH SYSTEM","392300","390006","100 NORTH ACADEMY AVENUE","Danville","PA","17822","Network 4","18","64","64","2.0%"
"GEM STATE REGIONAL DIALYSIS CENTER","132500","-","2225 TETON PLAZA   SUITE A","IDAHO FALLS","ID","83404","Network 16","83","75","64","0.0%"
"Genesis Services","332734","-","74-07 88TH STREET","RIDGEWOOD","NY","11385","Network 2","66","61","64","0.0%"
"Genesis Services, LLC","332844","-","3200 BAYCHESTER AVE","Bronx","NY","10475","Network 2","No Score","61","64","0.0%"
"GENEVA GENERAL HOSPITAL","332393","330058","196 NORTH STREET","GENEVA","NY","14456","Network 2","59","61","64","0.0%"
"Georgia Kidney Institute, LLC","112887","-","1625 HARDEMAN AVENUE","MACON","GA","31201","Network 6","54","59","64","0.5%"
"GHS WESTERN REGIONAL HOME DIALYSIS","232685","-","39525 W 14 MILE RD STE 200","NOVI","MI","48377","Network 11","48","63","64","0.5%"
"Glengariff Dialysis Center, LLC","332775","-","141 DOSORIS LANE","GLEN COVE","NY","11542","Network 2","36","61","64","1.5%"
"GLOBAL DIALYSIS PLUS INC","672681","-","12823 CAPRICORN DRIVE","STAFFORD","TX","77477","Network 14","43","63","64","1.0%"
"Gloversville Dialysis Center","332744","-","46 EASTERLY STREET","GLOVERSVILLE","NY","12078","Network 2","63","61","64","0.0%"
"GMC OUTPATIENT DIALYSIS UNIT - JUSTIN DRIVE","393518","-","100 JUSTIN DRIVE","Danville","PA","17822","Network 4","43","64","64","1.0%"
"Governor Juan F. Luis Hospital and Medical Center","482302","480002","4007 EST DIAMOND RUBY","CHRISTIANSTED","VI","00820","Network 3","43","59","64","1.0%"
"Grace Medical Center","212749","-","RENAL DIALYSIS UNIT","BALTIMORE","MD","21223","Network 5","79","66","64","0.0%"
"GRAND CONCOURSE DIALYSIS FACILITY","332642","-","1780 GRAND CONCOURSE","BRONX","NY","10457","Network 2","52","61","64","0.5%"
"GRAND PRAIRIE DIALYSIS CENTER INC","452863","-","550 S CARRIER PARKWAY","GRAND PRAIRIE","TX","75051","Network 14","74","63","64","0.0%"
"Greater Irving II Regional Dialysis Center, LLC","672831","-","1070 N WESTMORELAND ROAD","DALLAS","TX","75211","Network 14","57","63","64","0.0%"
"Greater Irving I Regional Dialysis Center, LLC","672858","-","1950 NE GREEN OAKS BLVD","ARLINGTON","TX","76006","Network 14","40","63","64","1.0%"
"GREATER SOUTHEAST COMMUNITY DIALYSIS CENTER","092505","-","4601 MARTI LUTHER KING JR. AVENUE SOUTHWEST","WASHINGTON","DC","20032","Network 5","75","63","64","0.0%"
"GREAT FALLS LIBERTY DIALYSIS, LLC","272512","-","1724 26TH STREET S","GREAT FALLS","MT","59405","Network 16","69","70","64","0.0%"
"GREAT LAKES DIALYSIS, LLC","232614","-","14614 KERCHEVAL ST","DETROIT","MI","48215","Network 11","46","63","64","1.0%"
"GREAT LAKES DIALYSIS - MONROE","232533","-","992 S MONROE ST","MONROE","MI","48161","Network 11","57","63","64","0.0%"
"GREAT LAKES DIALYSIS WEST, LLC","232695","-","27150 W 8 MILE RD","SOUTHFIELD","MI","48033","Network 11","44","63","64","1.0%"
"GREENACRES DIALYSIS CENTER","682541","-","5702 LAKE WORTH ROAD #1","GREENACRES","FL","33463","Network 7","24","57","64","2.0%"
"GREENFIELD HS - DEARBORN","232507","-","19001 HUBBARD DR","DEARBORN","MI","48126","Network 11","44","63","64","1.0%"
"GREENFIELD HS - DETROIT WEST PAVILION","232505","-","2799 W GRAND BLVD","DETROIT","MI","48202","Network 11","46","63","64","1.0%"
"GREENFIELD HS - EASTPOINTE","232567","-","21400 KELLY RD","EASTPOINTE","MI","48021","Network 11","65","63","64","0.0%"
"GREENFIELD HS - LIVONIA","232515","-","14555 LEVAN RD","LIVONIA","MI","48154","Network 11","46","63","64","1.0%"
"GREENFIELD HS - NORTHWEST DETROIT","232544","-","7800 W OUTER DR SUITE L10","DETROIT","MI","48235","Network 11","34","63","64","1.5%"
"GREENFIELD HS - PONTIAC","232516","-","44200 WOODWARD AVE STE 109","PONTIAC","MI","48341","Network 11","45","63","64","1.0%"
"GREENFIELD HS - TAYLOR","232510","-","24565 HAIG ROAD","TAYLOR","MI","48180","Network 11","52","63","64","0.5%"
"GREENFIELD HS - TROY","232506","-","2050 LIVERNOIS, SUITE A","TROY","MI","48083","Network 11","53","63","64","0.5%"
"GREENSBORO KIDNEY CENTER","342504","-","2700 HENRY STREET","GREENSBORO","NC","27405","Network 6","65","68","64","0.0%"
"GREENVILLE DIALYSIS CENTER","342502","-","510 PALADIN DRIVE","GREENVILLE","NC","27834","Network 6","63","68","64","0.0%"
"GREENVILLE DIALYSIS CLINIC, LLC","422637","-","220-A HOWE STREET","GREENVILLE","SC","29601","Network 6","57","67","64","0.0%"
"GRESHAM DIALYSIS CENTER","382538","-","1360 E POWELL BLVD","GRESHAM","OR","97030","Network 16","70","67","64","0.0%"
"GROTEN DIALYSIS LLC","752507","-","1840 EAST MAIN STREET","WOODLAND","CA","95776","Network 17","80","65","64","0.0%"
"GUADALUPE KIDNEY DISEASE CL","452722","-","626 MERIDA","SAN ANTONIO","TX","78207","Network 14","64","63","64","0.0%"
"GUAM DIALYSIS CENTER-TAMUNING","652500","-","633 GOV CARLOS G CAMACHO ROAD SUITE 106","TAMUNING","GU","96913","Network 17","61","64","64","0.0%"
"GUAM RENAL CARE","652501","-","736 ROUTE 4, SUITE 101","SINAJANA","GU","96910","Network 17","57","64","64","0.0%"
"Gulfgate Kidney Center","672844","-","2916 WOODRIDGE DRIVE","HOUSTON","TX","77087","Network 14","60","63","64","0.0%"
"GUNDERSEN LUTHERAN RENAL DIALYSIS - LA CROSSE","522313","520087","1910 SOUTH AVE","LA CROSSE","WI","54601","Network 11","73","66","64","0.0%"
"GUNDERSEN LUTHERAN RENAL DIALYSIS - ONALASKA","523528","-","3075 SOUTH KINNEY COULEE RD","ONALASKA","WI","54650","Network 11","74","66","64","0.0%"
"GUNDERSEN LUTHERAN RENAL DIALYSIS - PRAIRIE DU CHIEN","523500","-","610 E TAYLOR ST","PRAIRIE DU CHIEN","WI","53821","Network 11","57","66","64","0.0%"
"GUNDERSEN LUTHERAN RENAL DIALYSIS - TOMAH","523505","-","505 GOPHER DRIVE, SUITE B","Tomah","WI","54660","Network 11","68","66","64","0.0%"
"GUNDERSEN LUTHERAN RENAL DIALYSIS - VIROQUA","523517","-","407 S MAIN ST","VIROQUA","WI","54665","Network 11","70","66","64","0.0%"
"Hacienda Dialysis Center","052879","-","2020 S. HACIENDA BLVD., SUITE G","Hacienda Heights","CA","91745","Network 18","70","65","64","0.0%"
"HALIFAX COUNTY DIALYSIS CENTER","342619","-","612 MAIN STREET","SCOTLAND NECK","NC","27874","Network 6","58","68","64","0.0%"
"Hamilton Pk Dialysis Center","312580","-","328 NINTH STREET","JERSEY CITY","NJ","07302","Network 3","46","66","64","1.0%"
"Hammond Dialysis Center","152671","-","7 SIBLEY STREET","HAMMOND","IN","46320","Network 9","55","64","64","0.5%"
"HAMMOND DIALYSIS CLINIC, LLC","192732","-","42286 VETERANS AVE","HAMMOND","LA","70403","Network 13","50","68","64","0.5%"
"Hampshire County Dialysis Center","222537","-","84 CONZ STREET","NORTHAMPTON","MA","01060","Network 1","92","63","64","0.0%"
"Hapeville Dialysis Center","112822","-","800 VIRGINIA AVE","Hapeville","GA","30354","Network 6","34","59","64","1.5%"
"HARLEM HOSPITAL","332354","330240","506 LENOX AVENUE - ROOM  18-107","NEW YORK","NY","10037","Network 2","47","61","64","0.5%"
"HARLINGEN DIALYSIS","452817","-","4302 SESAME DRIVE","HARLINGEN","TX","78550","Network 14","66","63","64","0.0%"
"Harris Health System Riverside Dialysis Center","453511","450289","3315 DELANO STREET","HOUSTON","TX","77004","Network 14","35","63","64","1.5%"
"HARRISON DIALYSIS","042584","-","1409 GLADDEN","HARRISON","AR","72601","Network 13","59","62","64","0.0%"
"HASTINGS HEMODIALYSIS CENTER","332715","-","20 FOURTH STREET","MALONE","NY","12953","Network 2","65","61","64","0.0%"
"HATTIESBURG CLINIC DIALYSIS","252502","-","5909 HWY 49","HATTIESBURG","MS","39402","Network 8","63","68","64","0.0%"
"HATTIESBURG CLINIC PA","252587","-","6855 LINCOLN ROAD EXT","HATTIESBURG","MS","39402","Network 8","62","68","64","0.0%"
"HAUPPAUGE DIALYSIS CENTER","332655","-","30 CENTRAL AVENUE","HAUPPAUGE","NY","11788","Network 2","50","61","64","0.5%"
"HAWKDEN DIALYSIS","502609","-","3630 S CEDAR ST","TACOMA","WA","98409","Network 16","No Score","67","64","0.0%"
"Hawthorn Kidney Center","222503","-","537 FAUNCE CORNER ROAD","DARTMOUTH","MA","02747","Network 1","54","63","64","0.5%"
"HEARTLAND KIDNEY AND DIALYSIS CENTER","262657","-","833 N BUSINESS 71","NEOSHO","MO","64850","Network 12","56","62","64","0.5%"
"HEARTLAND KIDNEY CENTER","262650","-","2828 SOUTH GRAND","CARTHAGE","MO","64836","Network 12","38","62","64","1.0%"
"HEARTLAND MIAMI DX LLP","372536","-","2111 DENVER HARNER DR","MIAMI","OK","74354","Network 13","70","66","64","0.0%"
"Hendrick Dialysis Center, LLC","742556","-","820 N 19TH ST","Abilene","TX","79601","Network 14","34","63","64","1.5%"
"Hephzibah Dialysis Clinic LLC","112874","-","2516 TOBACCO RD","HEPHZIBAH","GA","30815","Network 6","63","59","64","0.0%"
"Herald Square Dialysis LLC","072551","-","ONE HERALD SQUARE","NEW BRITAIN","CT","06051","Network 1","80","67","64","0.0%"
"Heritage Dialysis Center, LLC","222572","-","67 COOPER STREET","AGAWAM","MA","01001","Network 1","50","63","64","0.5%"
"HERITAGE HOME DIALYSIS LLC","232746","-","1580 N. LEROY ST.","FENTON","MI","48430","Network 11","42","63","64","1.0%"
"HESS MEMORIAL HOSPITAL","522328","520109","1050 DIVISION ST","MAUSTON","WI","53948","Network 11","53","66","64","0.5%"
"HEWELL KIDS KIDNEY CENTER AT ORLANDO HEALTH","102341","100006","92 W MILLER STREET","ORLANDO","FL","32806","Network 7","59","57","64","0.0%"
"H. Fuld Capital Health","312315","310092","DIALYSIS UNIT","Trenton","NJ","08638","Network 3","57","66","64","0.0%"
"HIDDEN SPRINGS DIALYSIS CTR","042596","-","""3000 NW """"A"""" STREET""","BENTONVILLE","AR","72712","Network 13","50","62","64","0.5%"
"High Desert Hemodialysis","052699","-","1007 W. AVENUE M-14, SUITE B","Palmdale","CA","93551","Network 18","80","65","64","0.0%"
"Highland Oaks Dialysis Center","342768","-","730 HIGHLAND OAKS DR. SUITE 101","Winston Salem","NC","27103","Network 6","No Score","68","64","0.0%"
"HIGHLANDS DIALYSIS CENTER","102818","-","4245 SUN N LAKE BLVD","SEBRING","FL","33872","Network 7","36","57","64","1.5%"
"HIGH POINT KIDNEY CENTER OF WAKE FOREST UNIVERSITY","342514","-","1900 WESTCHESTER DRIVE","HIGH POINT","NC","27262","Network 6","47","68","64","0.5%"
"HILLIARD DIALYSIS CENTER LLC","102831","-","551858 US HWY 1 #118","HILLIARD","FL","32046","Network 7","81","57","64","0.0%"
"HILO DIALYSIS","122507","-","1384 KINOOLE STREET","HILO","HI","96720","Network 17","73","75","64","0.0%"
"H.K. FREEDMAN RENAL CENTER","332702","-","91 PLAZA BOULEVARD","PLATTSBURGH","NY","12901","Network 2","60","61","64","0.0%"
"Holdrege Dialysis LLC","742585","-","2001 W 34TH ST","Houston","TX","77018","Network 14","41","63","64","1.0%"
"HOLLYWOOD DIALYSIS","682555","-","4000 HOLLYWOOD BLVD #175-S","HOLLYWOOD","FL","33021","Network 7","70","57","64","0.0%"
"HOLLYWOOD RAVENEL DIALYSIS CLINC","422606","-","5953 JACOBS POINT BLVD","RAVENEL","SC","29470","Network 6","63","67","64","0.0%"
"HOLY CROSS DIALYSIS CENTER - WOODMORE","213503","-","11721 WOODMORE RD   STE 190","MITCHELLVILLE","MD","20721","Network 5","72","66","64","0.0%"
"HOLY CROSS HOSPITAL","212310","210004","RENAL DIALYSIS UNIT","SILVER SPRING","MD","20910","Network 5","43","66","64","1.0%"
"HOLY NAME RENAL CARE CENTER, LLC","312618","-","718 TEANECK ROAD","TEANECK","NJ","07666","Network 3","72","66","64","0.0%"
"Home Dialysis Care LLC","392899","-","88 OSBORNE STREET","Johnstown","PA","15905","Network 4","67","64","64","0.0%"
"Home Dialysis Centers of Rancho Cucamonga","552675","-","8239 ROCHESTER AVENUE, SUITE 110","Rancho Cucamonga","CA","91730","Network 18","21","65","64","2.0%"
"Home Dialysis Services Carrollwood, LLC","682689","-","4218 W LINEBAUGH AVE","Tampa","FL","33624","Network 7","No Score","57","64","0.0%"
"HOME DIALYSIS SERVICES - ELGIN","142760","-","442 N IL RTE 31","CRYSTAL LAKE","IL","60012","Network 10","64","64","64","0.0%"
"HOME DIALYSIS SERVICES ELK GROVE, LLC","142799","-","1843 W IRVING PARK ROAD","SCHAUMBURG","IL","60193","Network 10","75","64","64","0.0%"
"HOME DIALYSIS SERVICES - FOX VALLEY LLC","142824","-","1670 CAPITAL STREET, SUITE 900","ELGIN","IL","60124","Network 10","87","64","64","0.0%"
"HOME DIALYSIS SERVICES FRANKFORT, LLC","142801","-","7777 W LINCOLN HIGHWAY","FRANKFORT","IL","60423","Network 10","34","64","64","1.5%"
"Home Dialysis Services Harvey LLC","142877","-","16540 S HALSTED ST SUITE B","Harvey","IL","60426","Network 10","37","64","64","1.0%"
"HOME DIALYSIS SERVICES HERSHEY, LLC","392841","-","555 E. CHOCOLATE AVE., SUITE 102","Hershey","PA","17033","Network 4","63","64","64","0.0%"
"Home Dialysis Services, LLC","852578","-","1425 GEORGIA AVENUE, SUITE 102","Macon","GA","31201","Network 6","33","59","64","1.5%"
"HOME DIALYSIS SERVICES LLC","142745","-","15786 S. BELL RD.","HOMER GLEN","IL","60491","Network 10","56","64","64","0.5%"
"Home Dialysis Services Merrillville, LLC","152679","-","200 EAST 80TH PLACE SUITE 2","MERRILLVILLE","IN","46410","Network 9","No Score","64","64","0.0%"
"Home Dialysis Services Norcross, LLC","852579","-","3780 HOLCOMB BRIDGE ROAD, SUITE E","Norcross","GA","30092","Network 6","26","59","64","2.0%"
"HOME DIALYSIS SERVICES NORTH CHICAGO, LLC","142800","-","7315 W. NORTH AVENUE","RIVER FOREST","IL","60305","Network 10","100","64","64","0.0%"
"HOME DIALYSIS SERVICES NORTH TAMPA, LLC","682604","-","7187 BROAD STREET","BROOKSVILLE","FL","34601","Network 7","71","57","64","0.0%"
"HOME DIALYSIS SERVICES OLYMPIA FIELDS LLC","142769","-","3214 VOLLMER RD","OLYMPIA FIELDS","IL","60461","Network 10","72","64","64","0.0%"
"Home Dialysis Services Riverside LLC","142876","-","1007 W RIVERSIDE BLVD SUITE B","Rockford","IL","61103","Network 10","No Score","64","64","0.0%"
"HOME DIALYSIS SERVICES ROCKFORD LLC","142792","-","2990 N PERRYVILLE ROAD SUITE 3100A","Rockford","IL","61107","Network 10","84","64","64","0.0%"
"HOME DIALYSIS SEVICES HICKORY HILLS LLC","142761","-","7831 W 95TH ST STE CNE","HICKORY HILLS","IL","60457","Network 10","56","64","64","0.5%"
"Home Dialysis South","262684","-","5201 MID AMERICA PLAZA SUITE 2200","SAINT LOUIS","MO","63129","Network 12","No Score","62","64","0.0%"
"HOME DIALYSIS SPECIALTY CENTER","232691","-","29001 HARPER AVE","SAINT CLAIR SHORES","MI","48081","Network 11","55","63","64","0.5%"
"Home Dialysis Therapies of San Diego","752554","-","1948 VIA CENTRE","VISTA","CA","92081","Network 18","No Score","65","64","0.0%"
"Home Dialysis Therapies of San Diego-North","552543","-","10672 WEXFORD STREET, SUITE 250","San Diego","CA","92131","Network 18","57","65","64","0.0%"
"Home Dialysis Therapies of San Diego-South","552546","-","2060 OTAY LAKES ROAD, SUITE 120","CHULA VISTA","CA","91913","Network 18","71","65","64","0.0%"
"HOME HEMODIALYSIS NETWORK","142791","-","14146 S BELL RD","HOMER GLEN","IL","60491","Network 10","No Score","64","64","0.0%"
"HOMESTEAD ARTIFICIAL KIDNEY CENTER","102565","-","99 NE 8TH ST","HOMESTEAD","FL","33030","Network 7","63","57","64","0.0%"
"HOMEWOOD DIALYSIS CLINIC LLC","212577","-","2700 NORTH CHARLES ST","BALTIMORE","MD","21218","Network 5","31","66","64","1.5%"
"HOPE DIALYSIS CENTER","642500","-","997838 ILI ILI ROAD VAITOGI","PAGO PAGO","AS","96799","Network 17","43","49","64","1.0%"
"HOPE DIALYSIS CENTER","042569","-","407 W 16TH ST","HOPE","AR","71801","Network 13","56","62","64","0.5%"
"HOPE KIDNEY CLINIC","672590","-","2309 EAST SAUNDERS STREET, SUITE 200","LAREDO","TX","78041","Network 14","65","63","64","0.0%"
"HOPE KIDNEY CLINIC LAKEVIEW","672667","-","6410 CRESCENT LOOP","LAREDO","TX","78041","Network 14","73","63","64","0.0%"
"Hope Valley","342758","-","101 W WOODCROFT PKWY","Durham","NC","27713","Network 6","72","68","64","0.0%"
"Hopkinton Dialysis LLC","142872","-","6001 WEST OGDEN AVENUE","Cicero","IL","60804","Network 10","52","64","64","0.5%"
"Hospital Metropolitano Centro de Dialysis","402316","-","STREET 21, NUM 1785 LAS LOMAS","San Juan","PR","00922","Network 3","31","59","64","1.5%"
"Hoven Dialysis, LLC","392897","-","5072 RITTER ROAD","Mechanicsburg","PA","17055","Network 4","60","64","64","0.0%"
"HOWARD UNIVERSITY DIALYSIS CENTER, LLC","092528","-","2041 GEORGIA AVE NW","WASHINGTON","DC","20060","Network 5","53","63","64","0.5%"
"HPLD Partners LLC","332751","-","386 VIOLET AVENUE","POUGHKEEPSIE","NY","12601","Network 2","69","61","64","0.0%"
"HUMBLE DIALYSIS, LP","672699","-","19502 MCKAY DR.","HUMBLE","TX","77338","Network 14","28","63","64","1.5%"
"Hunt County Regional Dialysis Center, LLC","742519","-","3301 RIDGECREST RD STE 1","GREENVILLE","TX","75402","Network 14","62","63","64","0.0%"
"HUNTINGTON HOSPITAL","332310","330045","270 PARK AVENUE","Huntington","NY","11743","Network 2","48","61","64","0.5%"
"HURON REGIONAL MEDICAL CTR","432301","430011","172 4TH ST SE","HURON","SD","57350","Network 11","83","74","64","0.0%"
"IDAHO KIDNEY CENTER - BLACKFOOT","132515","-","245 POPLAR","BLACKFOOT","ID","83221","Network 16","72","75","64","0.0%"
"IDAHO KIDNEY CENTER HOME PROGRAM","132535","-","3193 SOUTH FORK BOULEVARD","Idaho Falls","ID","83402","Network 16","70","75","64","0.0%"
"IDAHO KIDNEY CENTER - POCATELLO","132511","-","333 KNUDSEN BLVD","Chubbuck","ID","83202","Network 16","80","75","64","0.0%"
"IDF - ARUNDEL CENTER","212544","-","804 LANDMARK DRIVE","GLEN BURNIE","MD","21061","Network 5","68","66","64","0.0%"
"IDF - CALVERT CENTER","212549","-","225 W DARES BEACH RD","PRINCE FREDERICK","MD","20678","Network 5","65","66","64","0.0%"
"IDF - CHESTNUT SQUARE DIALYSIS CTR","212513","-","3303 CHESTNUT AVE","BALTIMORE","MD","21211","Network 5","57","66","64","0.0%"
"IDF - GARRETT DIALYSIS CENTER","212651","-","888 MEMORIAL DR","OAKLAND","MD","21550","Network 5","60","66","64","0.0%"
"IDF - PARKVIEW CENTER","212515","-","840 HOLLINS ST","BALTIMORE","MD","21201","Network 5","62","66","64","0.0%"
"I Dialysis, LLC","672883","-","8760 US HWY 59 SOUTH","NACOGDOCHES","TX","75964","Network 14","54","63","64","0.5%"
"I Home Dialysis Llc","382588","-","12045 SE PARDEE ST","Portland","OR","97266","Network 16","No Score","67","64","0.0%"
"Imperial Dialysis","742571","-","6514 HIGHWAY 90A STE 103","Sugar Land","TX","77498","Network 14","42","63","64","1.0%"
"Independence Dialysis Center","262556","-","1135 S. CLAREMONT","Independence","MO","64054","Network 12","61","62","64","0.0%"
"Independent Dialysis Group Northeast Ohio LLC","362899","-","48444 BELL SCHOOL ROAD","Calcutta","OH","43920","Network 9","No Score","61","64","0.0%"
"INDEPENDENT NEPHROLOGY SERVICES CHARLOTTE","342655","-","6646 REGAL OAKS DRIVE","Charlotte","NC","28212","Network 6","70","68","64","0.0%"
"INDEPENDENT NEPHROLOGY SERVICES HUNTERSVILLE","342654","-","9920 KINCEY AVENUE STE 140","HUNTERSVILLE","NC","28078","Network 6","61","68","64","0.0%"
"INDIANA DIALYSIS COMPANY","152657","-","7840 MADISON AVE","INDIANAPOLIS","IN","46227","Network 9","35","64","64","1.5%"
"INDIAN TRAIL DIALYSIS","502606","-","5420 W LOWELL","Spokane","WA","99208","Network 16","76","67","64","0.0%"
"Infiniti Dialysis Center of Cincinnati, LLC","362830","-","4665 EAST GALBRAITH RD SUITE 102","Cincinnati","OH","45236","Network 9","58","61","64","0.0%"
"Innovative Dialysis Center of Lubbock, LLC","672823","-","1826 PARKWAY DR","LUBBOCK","TX","79403","Network 14","70","63","64","0.0%"
"INNOVATIVE DIALYSIS CENTERS OF LA GRANGE, LLC","112871","-","1300 LAFAYETTE PKWY","LAGRANGE","GA","30241","Network 6","58","59","64","0.0%"
"INNOVATIVE DIALYSIS SOLUTIONS AT HOME OF DEVINE","742521","-","108 SOUTH UPSON DRIVE","Devine","TX","78016","Network 14","54","63","64","0.5%"
"Innovative Home Dialysis of Georgia, LLC","112890","-","3753 MARIETTA HIGHWAY","CANTON","GA","30114","Network 6","34","59","64","1.5%"
"INS STATESVILLE","342657","-","2603 DAVIE AVENUE","STATESVILLE","NC","28625","Network 6","63","68","64","0.0%"
"Integra Dialysis Center","682695","-","1490 W 49TH PLACE","Hialeah","FL","33012","Network 7","26","57","64","2.0%"
"Intercommunity Dialysis Center","052712","-","12455 WASHINGTON BLVD.","WHITTIER","CA","90602","Network 18","51","65","64","0.5%"
"Intercommunity Dialysis Center-La Mirada","552890","-","15060 IMPERIAL HWY","La Mirada","CA","90638","Network 18","73","65","64","0.0%"
"INVERNESS DIALYSIS CENTER","102579","-","1510 HIGHWAY 41 NORTH","INVERNESS","FL","34450","Network 7","39","57","64","1.0%"
"IRC Hill Country, LLC","452829","-","3939  MEDICAL DRIVE","SAN ANTONIO","TX","78229","Network 14","42","63","64","1.0%"
"IRC Hill Country, LLC","452615","-","803 CASTROVILLE","SAN ANTONIO","TX","78237","Network 14","42","63","64","1.0%"
"IROQUOIS KIDNEY CENTER","142759","-","209 S FIFTH ST","WATSEKA","IL","60970","Network 10","No Score","64","64","0.0%"
"IRVING REGIONAL DIALYSIS CENTER LLC","672785","-","2535 WEST AIRPORT FWY","IRVING","TX","75062","Network 14","59","63","64","0.0%"
"ISD Renal Inc","392827","-","1300 W. LEHIGH AVE., SUITE 106","Philadelphia","PA","19132","Network 4","50","64","64","0.5%"
"ISD Renal Inc","392848","-","4800 BROWN STREET, SUITE 201","PHILADELPHIA","PA","19139","Network 4","65","64","64","0.0%"
"ISD Renal Inc","392823","-","1930 SOUTH BROAD STREET, UNIT 7","Philadelphia","PA","19145","Network 4","61","64","64","0.0%"
"ISD Renal, Inc","392881","-","6501 ROOSEVELT BLVD.","Philadelphia","PA","19149","Network 4","75","64","64","0.0%"
"ISLAND REHABILITATIVE SERVICES-CLOVE LAKES EXTENSION","332638","-","25 FANNING STREET","STATEN ISLAND","NY","10314","Network 2","49","61","64","0.5%"
"ISLAND REHABILITATIVE SERVICES - COMMACK","332663","-","68 HAUPPAUGE ROAD","COMMACK","NY","11725","Network 2","63","61","64","0.0%"
"ISLAND REHABILITATIVE SERVICES, INC.","332511","-","470 SEAVIEW AVENUE","STATEN ISLAND","NY","10305","Network 2","47","61","64","0.5%"
